"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Los Angeles Rams (LAR)","53","14","8","12","4","1","0","16","151.0","9.4","63.8%"
"2","Pittsburgh Steelers (PIT)","56","18","9","12","3","1","0","17","148.0","8.7","44.7%"
"3","Indianapolis Colts (IND)","40","15","10","11","4","3","2","16","145.0","9.1","89.9%"
"4","Miami Dolphins (MIA)","41","18","10","14","2","0","1","16","141.0","8.8","22.9%"
"5","Baltimore Ravens (BAL)","39","10","12","22","3","2","1","16","141.0","8.8","89.6%"
"6","Washington Commanders (WAS)","47","16","7","13","3","1","0","16","127.0","7.9","42.8%"
"7","New Orleans Saints (NO)","45","18","8","6","1","1","0","16","126.0","7.9","96.3%"
"8","Tampa Bay Buccaneers (TB)","48","15","10","15","1","1","0","16","119.0","7.4","94.2%"
"9","Buffalo Bills (BUF)","38","15","11","14","3","0","1","16","118.0","7.4","99.0%"
"10","Arizona Cardinals (ARI)","48","11","10","12","0","1","0","16","110.0","6.9","1.8%"
"11","New England Patriots (NE)","24","18","4","5","2","0","2","16","108.0","6.8","42.5%"
"12","Kansas City Chiefs (KC)","32","16","6","11","2","1","2","16","108.0","6.8","21.4%"
"13","Seattle Seahawks (SEA)","46","14","8","12","0","3","0","16","105.0","6.6","1.0%"
"14","New York Giants (NYG)","40","11","11","13","2","0","0","16","103.0","6.4","1.2%"
"15","Philadelphia Eagles (PHI)","49","8","11","12","2","1","1","16","103.0","6.4","30.7%"
"16","Carolina Panthers (CAR)","29","7","15","13","3","0","0","16","99.0","6.2","3.6%"
"17","Cleveland Browns (CLE)","38","11","10","16","2","2","0","16","97.0","6.1","37.7%"
"18","Green Bay Packers (GB)","41","11","7","11","2","1","0","16","94.0","5.9","86.2%"
"19","Chicago Bears (CHI)","35","10","8","13","1","1","1","16","92.0","5.8","2.2%"
"20","San Francisco 49ers (SF)","30","12","8","11","1","0","0","16","90.0","5.6","96.0%"
"21","Dallas Cowboys (DAL)","31","10","12","13","2","0","1","16","78.0","4.9","70.0%"
"22","Denver Broncos (DEN)","42","10","6","11","0","0","1","16","77.0","4.8","52.3%"
"23","Los Angeles Chargers (LAC)","27","12","7","5","2","1","0","16","76.0","4.8","51.7%"
"24","Atlanta Falcons (ATL)","29","12","9","17","1","0","0","16","72.0","4.5","0.7%"
"25","New York Jets (NYJ)","31","10","9","17","1","1","0","16","67.0","4.2","1.6%"
"26","Tennessee Titans (TEN)","19","15","8","11","1","0","1","17","66.0","3.9","32.3%"
"27","Minnesota Vikings (MIN)","23","15","7","8","0","1","0","16","60.0","3.8","10.2%"
"28","Jacksonville Jaguars (JAC)","18","12","5","8","1","0","2","16","54.0","3.4","0.8%"
"29","Cincinnati Bengals (CIN)","17","11","6","10","0","0","1","16","45.0","2.8","39.6%"
"30","Houston Texans (HOU)","34","3","6","9","1","0","0","16","45.0","2.8","0.8%"
"31","Las Vegas Raiders (LV)","21","10","5","8","0","0","0","16","43.0","2.7","3.2%"
"32","Detroit Lions (DET)","24","7","5","15","0","1","1","16","35.0","2.2","1.0%"
""
""
