Player,FPTS,FPTS/G,Player Segment
Dominik Eberle (DET),13.0,13.0,2
Daniel Carlson (LV),164.5,9.95,1
Evan McPherson (CIN),154.0,9.6,1
Matt Gay (LAR),112.5,9.4,1
Younghoe Koo (ATL),146.5,9.3,1
Justin Tucker (BAL),153.5,9.3,1
Greg Joseph (MIN),156.0,9.2,1
Greg Zuerlein (NYJ),146.5,9.2,1
Rodrigo Blankenship (FA),97.5,9.2,1
Tyler Bass (BUF),150.0,9.100000000000001,1
Nick Folk (NE),147.0,8.9,1
Jason Sanders (MIA),143.5,8.8,1
Harrison Butker (KC),137.0,8.600000000000001,1
Ryan Succop (TB),141.5,8.6,1
Chris Boswell (PIT),131.0,8.6,1
Riley Patterson (JAC),59.0,8.4,0
Tristan Vizcaino (FA),20.5,8.4,2
Wil Lutz (NO),135.0,8.4,1
Brandon McManus (DEN),132.5,8.35,1
Dustin Hopkins (LAC),137.5,8.3,1
Randy Bullock (TEN),115.0,8.2,1
Joey Slye (WAS),114.5,8.2,1
Matt Prater (ARI),135.5,8.2,1
Zane Gonzalez (CAR),98.0,8.2,1
Stephen Gostkowski (FA),119.0,7.9,1
Robbie Gould (SF),109.0,7.85,1
Brett Maher (DAL),62.0,7.8,0
Graham Gano (NYG),128.0,7.75,1
Cairo Santos (CHI),127.5,7.75,1
Mason Crosby (GB),127.0,7.7,1
Michael Badgley (FA),111.0,7.65,1
Eddy Pineiro (CAR),38.0,7.6,0
Mike Nugent (FA),30.0,7.5,0
Jason Myers (SEA),121.0,7.35,1
Sam Sloman (FA),55.0,6.9,0
Jake Elliott (PHI),112.5,6.75,1
Ka'imi Fairbairn (HOU),100.0,6.75,1
Matthew Wright (FA),54.0,6.6,0
Austin Seibert (DET),34.5,6.2,0
Sam Ficken (FA),54.0,6.0,0
Sergio Castillo (NYJ),36.0,6.0,0
Dan Bailey (FA),90.0,5.6,1
Chris Blewitt (FA),11.0,5.5,2
Aldrick Rosas (DET),30.5,5.45,0
Chase McLaughlin (IND),56.5,5.4,0
Brian Johnson (FA),42.0,5.3,0
Cody Parkey (FA),56.5,5.15,0
Lirim Hajrullahu (FA),20.0,5.0,2
Kai Forbath (LAR),10.0,5.0,2
Matt Ammendola (KC),55.0,5.0,0
Elliott Fry (FA),10.5,4.85,2
Ryan Santoso (FA),18.0,4.5,2
Josh Lambo (FA),16.5,4.35,2
Chris Naggar (FA),4.0,4.0,2
Jonathan Brown (FA),4.0,4.0,2
Stephen Hauschka (FA),2.0,2.0,2
Taylor Russolino (FA),1.0,1.0,2
Brandon Wright (FA),1.0,1.0,2
JJ Molson (FA),0.0,0.0,2
Cameron Nizialek (FA),0.0,0.0,2
Alex Kessman (FA),0.0,0.0,2
Michael Palardy (FA),0.0,0.0,2
Ty Long (NYJ),-1.4,-0.1,2
