Player,FPTS,FPTS/G,Player Segment
Josh Allen (BUF),411.45,24.950000000000003,2
Dak Prescott (DAL),234.5,24.2,0
Patrick Mahomes II (KC),377.25,23.7,2
Kyler Murray (ARI),350.6,23.299999999999997,2
Justin Herbert (LAC),369.20000000000005,23.1,2
Aaron Rodgers (GB),361.70000000000005,22.6,2
Tom Brady (TB),368.35,22.299999999999997,2
Lamar Jackson (BAL),297.35,21.950000000000003,2
Russell Wilson (DEN),310.65,20.55,2
Kirk Cousins (MIN),313.25,19.6,2
Ryan Tannehill (TEN),316.3,19.25,2
Joe Burrow (CIN),253.35000000000002,19.2,0
Matthew Stafford (LAR),308.65,18.65,2
Drew Brees (FA),215.4,18.0,0
Derek Carr (LV),275.8,16.75,2
Carson Wentz (WAS),239.14999999999998,16.7,0
Ben Roethlisberger (FA),252.6,16.4,0
Matt Ryan (IND),264.05,16.05,0
Teddy Bridgewater (MIA),230.95,15.9,0
Philip Rivers (FA),251.0,15.7,0
Jared Goff (DET),227.7,15.7,0
Trevor Siemian (CHI),93.2,15.5,1
Baker Mayfield (CAR),224.8,14.9,0
Gardner Minshew II (PHI),99.55,14.9,1
Daniel Jones (NYG),181.89999999999998,14.7,0
Cam Newton (FA),180.3,14.7,0
Nick Foles (IND),64.45,14.65,1
Marcus Mariota (ATL),20.85,14.450000000000001,1
Jalen Hurts (PHI),216.7,14.45,0
Tua Tagovailoa (MIA),165.65,14.35,0
Mac Jones (NE),238.0,14.0,0
Jimmy Garoppolo (SF),154.45,13.8,0
Taylor Heinicke (WAS),124.19999999999999,13.25,0
Sam Darnold (CAR),157.75,13.149999999999999,0
Sean Mannion (SEA),13.0,13.0,1
Davis Mills (HOU),167.0,12.8,0
Trevor Lawrence (JAC),216.0,12.7,0
Zach Wilson (NYJ),162.9,12.5,0
Andy Dalton (NO),118.5,12.35,0
Josh Johnson (DEN),48.4,12.1,1
Drew Lock (SEA),124.6,11.95,0
Deshaun Watson (CLE),188.2,11.75,0
Joe Flacco (NYJ),40.75,11.7,1
Justin Fields (CHI),136.9,11.4,0
Nick Mullens (MIN),69.05,11.350000000000001,1
Trey Lance (SF),67.0,11.2,1
Dwayne Haskins (FA),75.2,10.7,1
Alex Smith (FA),79.6,10.0,1
Mike Glennon (FA),53.2,9.95,1
Taysom Hill (NO),136.65,9.8,0
Tyrod Taylor (NYG),47.85,9.5,1
Mitch Trubisky (PIT),85.45,9.0,1
Jameis Winston (NO),61.35,8.9,1
Ryan Fitzpatrick (FA),80.69999999999999,8.4,1
Garrett Gilbert (FA),11.65,7.8,1
Kyle Allen (HOU),27.0,7.75,1
Geno Smith (SEA),28.2,7.45,1
Tyler Huntley (BAL),44.800000000000004,6.95,1
Mason Rudolph (PIT),19.35,6.8,1
Brandon Allen (CIN),33.7,6.75,1
John Wolford (LAR),6.45,6.65,1
Mike White (NYJ),26.0,6.5,1
Cooper Rush (DAL),25.1,6.3,1
Jake Luton (NO),17.15,5.7,1
Jeff Driskel (HOU),16.0,5.35,1
Colt McCoy (ARI),30.7,5.05,1
C.J. Beathard (JAC),26.9,4.75,1
Jake Fromm (FA),13.9,4.6,1
Jacoby Brissett (CLE),48.5,4.4,1
Chad Henne (KC),13.5,4.3500000000000005,1
Ryan Finley (FA),21.2,4.2,1
Jordan Love (GB),24.2,4.0,1
Ian Book (PHI),4.0,4.0,1
