Player,FPTS,FPTS/G,Player Segment
Travis Kelce (KC),103.9,6.95,2
Rob Gronkowski (FA),104.3,6.5,2
Jared Cook (FA),90.4,6.0,2
Jimmy Graham (FA),93.6,5.9,2
Eric Ebron (FA),85.8,5.7,2
Darren Waller (LV),85.8,5.35,2
George Kittle (SF),38.55,4.8,1
Tyler Higbee (LAR),44.050000000000004,4.75,1
Jordan Reed (FA),47.1,4.7,1
Trey Burton (FA),55.3,4.3,1
Mark Andrews (BAL),56.05,4.0,1
Robert Tonyan (GB),62.3,3.9,1
C.J. Uzomah (NYJ),7.35,3.7,0
Mike Gesicki (MIA),53.15,3.55,1
Darren Fells (FA),55.2,3.5,1
T.J. Hockenson (DET),54.15,3.4,1
O.J. Howard (HOU),13.3,3.35,0
Jonnu Smith (NE),49.6,3.3,1
Logan Thomas (WAS),52.3,3.25,1
Dallas Goedert (PHI),35.2,3.2,1
Tyler Eifert (FA),46.9,3.1,1
Hunter Henry (NE),42.65,3.05,1
Noah Fant (SEA),43.65,2.9,1
Hayden Hurst (CIN),46.55,2.9,1
Jack Doyle (FA),41.1,2.9,1
Chris Herndon IV (FA),42.7,2.7,1
Greg Olsen (FA),29.9,2.7,1
Irv Smith Jr. (MIN),34.25,2.65,1
Dalton Schultz (DAL),41.75,2.6,1
Jacob Hollister (FA),40.9,2.6,1
Austin Hooper (TEN),33.75,2.6,1
Evan Engram (JAC),39.0,2.45,1
Albert Okwuegbunam (DEN),9.05,2.25,0
Dawson Knox (BUF),21.65,2.05,0
Dan Arnold (JAC),32.9,2.05,1
Zach Ertz (ARI),20.75,1.9,0
Virgil Green (FA),11.0,1.8,0
Jordan Akins (HOU),23.35,1.8,1
James O'Shaughnessy (FA),26.2,1.7,1
Dominique Dafney (FA),8.6,1.7,0
Richard Rodgers (LAC),23.25,1.65,1
Mo Alie-Cox (IND),24.7,1.65,1
Jason Croom (FA),6.3,1.6,0
Gerald Everett (LAC),25.95,1.6,1
Lee Smith (FA),15.5,1.6,0
Kyle Rudolph (TB),18.7,1.55,0
Jace Sternberger (FA),17.4,1.5,0
Ryan Izzo (FA),17.9,1.5,0
Tyler Kroft (SF),14.95,1.5,0
Anthony Firkser (ATL),22.35,1.4,1
Nick Boyle (BAL),11.65,1.3,0
Darrell Daniels (FA),15.2,1.3,0
Donald Parham Jr. (LAC),16.95,1.3,0
David Njoku (CLE),16.65,1.3,0
Harrison Bryant (CLE),18.9,1.25,0
Cameron Brate (TB),20.1,1.25,0
Blake Jarwin (FA),1.2,1.2,0
Drew Sample (CIN),19.45,1.2,0
Jason Witten (FA),18.9,1.2,0
Will Dissly (SEA),18.55,1.15,0
Jordan Thomas (FA),6.3,1.1,0
Durham Smythe (MIA),16.4,1.1,0
Pharaoh Brown (HOU),14.15,1.1,0
Adam Shaheen (MIA),16.5,1.05,0
Cole Kmet (CHI),17.0,1.05,0
Marcedes Lewis (GB),14.35,0.95,0
Ross Dwelley (SF),15.25,0.95,0
Hunter Bryant (FA),4.4,0.9,0
Maxx Williams (ARI),8.1,0.9,0
Troy Fumagalli (SF),7.0,0.9,0
Foster Moreau (LV),13.0,0.8,0
Jesse James (CLE),12.45,0.8,0
Tyler Conklin (NYJ),12.7,0.8,0
Josh Hill (FA),10.6,0.8,0
Adam Trautman (NO),11.55,0.75,0
MyCole Pruitt (ATL),8.45,0.75,0
Vance McDonald (FA),9.9,0.7,0
Geoff Swaim (TEN),7.15,0.7,0
Kaden Smith (FA),11.2,0.7,0
Ian Thomas (CAR),10.25,0.65,0
Devin Asiasi (CIN),4.95,0.6,0
Kahale Warring (FA),3.5,0.5,0
Nick Vannett (NO),7.75,0.5,0
Luke Stocker (FA),6.3,0.4,0
Stephen Anderson (ARI),5.3,0.35,0
Blake Bell (KC),5.6,0.35,0
Nick Keizer (FA),4.3,0.3,0
Josiah Deguara (GB),0.6,0.3,0
Juwan Johnson (NO),1.95,0.3,0
Ryan Griffin (CHI),4.3,0.3,0
Demetrius Harris (FA),4.5,0.3,0
Levine Toilolo (FA),4.6,0.3,0
Deon Yelder (FA),3.6,0.3,0
Colin Thompson (CAR),3.35,0.2,0
Jaeden Graham (FA),2.5,0.2,0
Tanner Hudson (NYG),2.05,0.2,0
Cethan Carter (MIA),2.65,0.2,0
Ben Ellefson (MIN),1.5,0.2,0
Daniel Brown (FA),3.1,0.2,0
Stephen Carlson (FA),3.1,0.2,0
Luke Willson (FA),1.2,0.2,0
Brandon Dillon (FA),0.6,0.2,0
Johnny Mundt (MIN),2.65,0.15,0
Colby Parkinson (SEA),0.8,0.15,0
Dalton Keene (PHI),0.8,0.15,0
Chris Manhertz (JAC),2.6,0.15,0
Charlie Woerner (SF),1.8,0.15,0
Jake Butt (FA),0.5,0.1,0
Derek Carrier (FA),1.4,0.1,0
Temarrick Hemingway (FA),1.0,0.1,0
Eric Saubert (DEN),0.8,0.1,0
Mason Schreck (HOU),0.0,0.0,0
Sean McKeon (DAL),0.0,0.0,0
Teagan Quitoriano (HOU),0.0,0.0,0
Zach Davidson (BUF),0.0,0.0,0
Trevon Wesco (CHI),0.25,0.0,0
Seth DeValve (FA),0.0,0.0,0
Shane Zylstra (DET),0.0,0.0,0
Matthew Orzech (LAR),0.0,0.0,0
Shaun Beyer (GB),0.0,0.0,0
Matt Sokol (NE),0.0,0.0,0
Tyler Davis (GB),0.0,0.0,0
Miller Forristall (CLE),0.0,0.0,0
Tre' McKitty (LAC),0.0,0.0,0
Marquez Branson (ATL),0.0,0.0,0
Zach Gentry (PIT),0.0,0.0,0
Marcus Baugh (FA),0.2,0.0,0
Stephen Sullivan (CAR),0.0,0.0,0
Stone Smartt (LAC),0.0,0.0,0
Tanner Conner (MIA),0.0,0.0,0
Luke Farrell (JAC),0.0,0.0,0
Tommy Stevens (FA),0.0,0.0,0
Lucas Krull (NO),0.0,0.0,0
Zach Wood (NO),0.0,0.0,0
Sean Culkin (FA),0.0,0.0,0
Tyree Jackson (PHI),0.0,0.0,0
Mitchell Wilcox (CIN),0.0,0.0,0
Peyton Hendershot (DAL),0.0,0.0,0
Patrick Scales (CHI),0.0,0.0,0
Thomas Odukoya (TEN),0.0,0.0,0
Quintin Morris (BUF),0.0,0.0,0
Pat Freiermuth (PIT),0.0,0.0,0
Parker Hesse (ATL),0.0,0.0,0
Rashod Berry (FA),0.0,0.0,0
Noah Togiai (PHI),0.0,0.0,0
Noah Grey (KC),0.0,0.0,0
Noah Gray (KC),0.0,0.0,0
Tommy Sweeney (BUF),0.0,0.0,0
Reggie Gilliam (BUF),0.0,0.0,0
Tyler Mabry (SEA),0.0,0.0,0
Nikola Kalinic (IND),0.0,0.0,0
Ricky Seals-Jones (FA),0.0,0.0,0
Tyler Ott (SEA),0.0,0.0,0
Tucker Fisk (ATL),0.0,0.0,0
Nick Muse (MIN),0.0,0.0,0
Roger Carter Jr. (LAR),0.0,0.0,0
Trey McBride (ARI),0.0,0.0,0
Taysom Hill (NO),0.0,0.0,0
Nick Bowers (CIN),0.0,0.0,0
Ross Travis (FA),0.0,0.0,0
Nate Becker (FA),0.0,0.0,0
Tommy Tremble (CAR),0.0,0.0,0
Jeremy Ruckert (NYJ),0.0,0.0,0
Leroy Watson (SF),0.0,0.0,0
Clark Harris (CIN),0.0,0.0,0
Cole Turner (WAS),0.0,0.0,0
Connor Heyward (PIT),0.0,0.0,0
Curtis Hodges (WAS),0.0,0.0,0
Daniel Bellinger (NYG),0.0,0.0,0
Daniel Helm (FA),0.0,0.0,0
Darnell Dinkins (NO),0.0,0.0,0
Derek Fine (HOU),0.0,0.0,0
Dominique Curry (DET),0.0,0.0,0
Drake Dunsmore (TB),0.0,0.0,0
Dylan Parham (DEN),0.0,0.0,0
Dylan Soehner (NO),0.0,0.0,0
Eric Tomlinson (DEN),0.0,0.0,0
Evan Baylis (FA),0.0,0.0,0
Farrod Green (FA),0.0,0.0,0
Feleipe Franks (ATL),0.0,0.0,0
Garrett Griffin (DET),0.0,0.0,0
Gerrit Prince (JAC),0.0,0.0,0
Giovanni Ricci (CAR),0.0,0.0,0
Grant Calcaterra (PHI),0.0,0.0,0
Cole Fotheringham (LV),0.0,0.0,0
Chris Myarick (NYG),0.0,0.0,0
Lawrence Cager (NYJ),0.0,0.0,0
Chigoziem Okonkwo (TEN),0.0,0.0,0
Andrew Beck (DEN),0.0,0.0,0
Andrew DePaola (MIN),0.0,0.0,0
Andrew Ogletree (IND),0.0,0.0,0
Antonio Gandy-Golden (FA),0.0,0.0,0
Antony Auclair (FA),0.0,0.0,0
Armani Rogers (WAS),0.0,0.0,0
Austin Allen (NYG),0.0,0.0,0
Beau Brinkley (ATL),0.0,0.0,0
Ben Mason (BAL),0.0,0.0,0
Bernhard Seikovits (ARI),0.0,0.0,0
Brad Cottam (KC),0.0,0.0,0
Brevin Jordan (HOU),0.0,0.0,0
Brock Wright (DET),0.0,0.0,0
Bruce Miller (FA),0.2,0.0,0
Brycen Hopkins (LAR),0.0,0.0,0
Cade Otton (TB),0.0,0.0,0
Caleb Wilson (FA),0.0,0.0,0
Charlie Kolar (BAL),0.0,0.0,0
Chase Allen (CHI),0.0,0.0,0
Greg Dulcich (DEN),0.0,0.0,0
Hakeem Butler (FA),0.0,0.0,0
Hale Hentges (FA),0.0,0.0,0
Hunter Kampmoyer (LAC),0.0,0.0,0
Jesper Horsted (LV),0.0,0.0,0
Jody Fortson (KC),0.0,0.0,0
Joey Haynos (MIA),0.0,0.0,0
John Bates (WAS),0.0,0.0,0
John FitzPatrick (ATL),0.0,0.0,0
John Lovett (MIA),0.0,0.0,0
Jordan Franks (KC),0.0,0.0,0
Jordan Matthews (SF),0.0,0.0,0
Josh Oliver (BAL),0.0,0.0,0
Justin Rigg (PIT),0.0,0.0,0
Justin Snow (IND),0.0,0.0,0
Keith Zinger (ATL),0.0,0.0,0
Kendall Blanton (KC),0.0,0.0,0
Kenny Yeboah (NYJ),0.0,0.0,0
Kevin Rader (TEN),0.0,0.0,0
Ko Kieft (TB),0.0,0.0,0
Kyle Nelson (FA),0.0,0.0,0
Kyle Pitts (ATL),0.0,0.0,0
Kylen Granson (IND),0.0,0.0,0
Jeremy Sprinkle (FA),0.6,0.0,0
Jelani Woods (IND),0.0,0.0,0
Jeff Driskel (HOU),0.0,0.0,0
Jack Stoll (PHI),0.0,0.0,0
Hunter Long (MIA),0.0,0.0,0
Ian Bunting (DAL),0.0,0.0,0
Isaac Nauta (FA),0.3,0.0,0
Isaiah Likely (BAL),0.0,0.0,0
