"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","7","8","109","15.6","46","3","1","0","0","0","0","1","16.9","16.9","100.0%"
"2","Rob Gronkowski (FA)","4","5","39","9.8","20","1","2","0","0","0","0","1","15.9","15.9","2.6%"
"3","T.J. Hockenson (DET)","8","9","66","8.3","20","1","1","0","0","0","0","1","12.6","12.6","96.6%"
"4","Robert Tonyan (GB)","3","3","52","17.3","22","1","1","0","0","0","0","1","11.2","11.2","17.8%"
"5","Maxx Williams (ARI)","7","7","94","13.4","34","3","0","0","0","0","0","1","9.4","9.4","0.0%"
"6","Foster Moreau (LV)","2","3","34","17.0","25","1","1","0","0","0","0","1","9.4","9.4","0.6%"
"7","Noah Fant (SEA)","4","6","33","8.3","14","0","1","0","0","0","0","1","9.3","9.3","37.1%"
"8","Jack Doyle (FA)","5","8","64","12.8","34","2","0","0","0","0","0","1","8.4","8.4","2.0%"
"9","Ricky Seals-Jones (FA)","1","1","19","19.0","19","0","1","0","0","0","0","1","7.9","7.9","0.1%"
"10","Dawson Knox (BUF)","2","3","17","8.5","9","0","1","0","0","0","0","1","7.7","7.7","91.9%"
"11","Kyle Pitts (ATL)","5","6","73","14.6","24","2","0","0","0","0","0","1","7.3","7.3","99.9%"
"12","Darren Waller (LV)","5","7","65","13.0","25","1","0","0","0","0","0","1","6.5","6.5","99.6%"
"13","Mark Andrews (BAL)","5","5","57","11.4","20","1","0","0","0","0","0","1","5.7","5.7","100.0%"
"14","Dan Arnold (JAC)","3","4","55","18.3","19","0","0","0","0","0","0","1","5.5","5.5","0.3%"
"15","Harrison Bryant (CLE)","4","4","49","12.3","29","1","0","0","0","0","0","1","4.9","4.9","0.3%"
"16","Logan Thomas (WAS)","5","7","45","9.0","24","1","0","0","0","0","0","1","4.5","4.5","5.7%"
"17","MyCole Pruitt (ATL)","3","3","43","14.3","22","1","0","0","0","0","0","1","4.3","4.3","0.0%"
"18","Hunter Henry (NE)","2","4","42","21.0","32","2","0","0","0","0","0","1","4.2","4.2","75.9%"
"19","Mike Gesicki (MIA)","3","6","41","13.7","18","0","0","0","0","0","0","1","4.1","4.1","62.1%"
"20","Austin Hooper (TEN)","5","5","40","8.0","13","0","0","0","0","0","0","1","4.0","4.0","29.9%"
"21","Blake Jarwin (FA)","3","4","37","12.3","20","1","0","0","0","0","0","1","3.7","3.7","4.0%"
"22","Pat Freiermuth (PIT)","4","4","36","9.0","14","0","0","0","0","0","0","1","3.6","3.6","86.3%"
"23","Jared Cook (FA)","3","5","28","9.3","12","0","0","0","0","0","0","1","2.8","2.8","0.1%"
"24","Jonnu Smith (NE)","4","5","28","7.0","19","0","0","0","0","0","0","1","2.8","2.8","0.9%"
"25","Kyle Rudolph (TB)","2","2","25","12.5","13","0","0","0","0","0","0","1","2.5","2.5","2.4%"
"26","Albert Okwuegbunam (DEN)","4","4","24","6.0","14","0","0","0","0","0","0","1","2.4","2.4","41.0%"
"27","Kaden Smith (FA)","2","2","24","12.0","21","1","0","0","0","0","0","1","2.4","2.4","0.0%"
"28","James O'Shaughnessy (FA)","1","1","24","24.0","24","1","0","0","0","0","0","1","2.4","2.4","0.0%"
