"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tyler Higbee (LAR)","5","11","39","7.8","11","0","0","0","0","0","0","1","3.9","3.9","53.2%"
"2","Dawson Knox (BUF)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","92.3%"
"3","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"4","Tyler Davis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"5","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"6","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"7","Nick Bowers (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"8","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"9","Brevin Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1%"
"10","Pat Freiermuth (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86.8%"
"11","Sean McKeon (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"12","Ben Ellefson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"13","Lawrence Cager (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"14","Cole Kmet (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83.8%"
"15","Brycen Hopkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"16","Jared Pinkney (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"17","Colby Parkinson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"18","Harrison Bryant (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"19","Adam Trautman (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"20","Devin Asiasi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"21","Josiah Deguara (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"22","Chase Allen (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"23","Luke Farrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"24","Mitchell Wilcox (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"25","Noah Gray (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"26","Juwan Johnson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"27","Dalton Keene (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"28","Stephen Sullivan (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"29","Charlie Woerner (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"30","Noah Togiai (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"31","Kyle Pitts (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.9%"
"32","Parker Hesse (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"33","Chris Myarick (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"34","Tyler Conklin (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"35","Jordan Franks (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"36","Kevin Rader (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Tanner Hudson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Ross Dwelley (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Will Dissly (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"40","Noah Fant (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.9%"
"41","Mark Andrews (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"42","Colin Thompson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Dallas Goedert (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.5%"
"44","Durham Smythe (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"45","Mike Gesicki (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60.1%"
"46","Troy Fumagalli (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Hayden Hurst (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.4%"
"48","Dalton Schultz (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.6%"
"49","Ian Thomas (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"50","Jordan Akins (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","John Lovett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Jody Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"53","Donald Parham Jr. (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"54","Matt Sokol (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Matthew Orzech (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Ian Bunting (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Foster Moreau (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"59","J.J. Arcega-Whiteside (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"60","Albert Okwuegbunam (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.2%"
"61","T.J. Hockenson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.9%"
"62","Tommy Sweeney (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"63","Zach Gentry (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"64","Kendall Blanton (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Jesper Horsted (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Josh Oliver (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Drew Sample (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"68","Trevon Wesco (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Tyree Jackson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Irv Smith Jr. (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51.5%"
