"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Daniel Carlson (LV)","40","43","93.0","56","0","10","12","12","6","30","33","17","174.0","10.2","96.5%"
"2","Nick Folk (NE)","36","39","92.3","53","0","9","11","11","5","42","47","17","171.0","10.1","70.6%"
"3","Justin Tucker (BAL)","35","37","94.6","66","0","7","9","13","6","32","32","17","162.0","9.5","99.9%"
"4","Chris Boswell (PIT)","36","40","90.0","56","0","9","8","11","8","27","29","17","162.0","9.5","11.2%"
"5","Matt Gay (LAR)","32","34","94.1","55","0","6","15","7","4","48","49","17","159.0","9.4","98.0%"
"6","Greg Joseph (MIN)","33","38","86.8","55","0","8","11","7","7","36","40","17","156.0","9.2","49.2%"
"7","Matt Prater (ARI)","30","37","81.1","62","0","11","9","3","7","47","49","17","154.0","9.1","76.5%"
"8","Evan McPherson (CIN)","28","33","84.8","58","0","5","8","6","9","46","48","16","154.0","9.6","99.8%"
"9","Jake Elliott (PHI)","30","33","90.9","58","0","7","10","10","3","44","44","17","150.0","8.8","25.7%"
"10","Dustin Hopkins (LAC)","30","34","88.2","50","1","8","6","13","2","40","44","17","147.0","8.6","32.5%"
"11","Tyler Bass (BUF)","28","32","87.5","57","0","15","7","4","2","51","51","17","143.0","8.4","93.0%"
"12","Harrison Butker (KC)","25","28","89.3","56","0","3","11","4","7","47","49","16","140.0","8.8","97.6%"
"13","Greg Zuerlein (NYJ)","29","35","82.9","56","0","5","15","7","2","42","48","16","140.0","8.8","2.0%"
"14","Ryan Succop (TB)","25","30","83.3","48","0","11","7","7","0","56","59","17","138.0","8.1","39.5%"
"15","Mason Crosby (GB)","25","34","73.5","54","0","9","9","4","3","49","51","17","134.0","7.9","4.8%"
"16","Randy Bullock (TEN)","26","31","83.9","51","0","5","12","8","1","42","45","16","130.0","8.1","2.8%"
"17","Brandon McManus (DEN)","26","31","83.9","61","0","7","6","8","5","33","34","17","129.0","7.6","69.1%"
"18","Younghoe Koo (ATL)","27","29","93.1","54","0","8","9","6","4","30","30","17","125.0","7.4","23.0%"
