Player,FPTS,FPTS/G,Player Segment
Josh Allen (BUF),405.2,25.3,1
Kyler Murray (ARI),390.7,24.4,1
Aaron Rodgers (GB),387.1,24.2,1
Patrick Mahomes II (KC),380.3,25.4,1
Deshaun Watson (CLE),376.4,23.5,1
Russell Wilson (DEN),372.6,23.3,1
Ryan Tannehill (TEN),350.3,21.9,1
Tom Brady (TB),350.0,21.9,1
Justin Herbert (LAC),342.8,22.9,1
Lamar Jackson (BAL),341.7,22.8,1
Kirk Cousins (MIN),319.2,20.0,1
Matt Ryan (IND),293.3,18.3,1
Derek Carr (LV),281.0,17.6,1
Ben Roethlisberger (FA),277.2,18.5,1
Matthew Stafford (LAR),270.5,16.9,1
Cam Newton (FA),269.3,18.0,1
Baker Mayfield (CAR),255.8,16.0,2
Jared Goff (DET),253.0,16.9,2
Teddy Bridgewater (MIA),252.1,16.8,2
Philip Rivers (FA),251.0,15.7,2
Drew Brees (FA),215.4,18.0,2
Carson Wentz (WAS),213.4,17.8,2
Drew Lock (SEA),196.4,15.1,2
Daniel Jones (NYG),190.2,13.6,2
Joe Burrow (CIN),178.6,17.9,2
Gardner Minshew II (PHI),164.5,18.3,2
Mitch Trubisky (PIT),161.8,16.2,2
Ryan Fitzpatrick (FA),160.7,16.1,2
Taysom Hill (NO),150.5,9.4,2
Sam Darnold (CAR),145.0,12.1,2
Andy Dalton (NO),143.9,13.1,2
Tua Tagovailoa (MIA),140.4,14.0,2
Dak Prescott (DAL),138.6,27.7,2
Nick Mullens (MIN),128.2,12.8,2
Jalen Hurts (PHI),112.2,7.5,2
Nick Foles (IND),112.1,12.5,2
Alex Smith (FA),79.6,10.0,0
Dwayne Haskins (FA),75.2,10.7,0
Jimmy Garoppolo (SF),69.4,11.6,0
Mike Glennon (FA),65.5,13.1,0
Joe Flacco (NYJ),57.7,11.5,0
Brandon Allen (CIN),53.6,10.7,0
C.J. Beathard (JAC),52.3,8.7,0
Kyle Allen (HOU),46.1,11.5,0
Jake Luton (NO),34.3,11.4,0
Jeff Driskel (HOU),32.0,10.7,0
Marcus Mariota (ATL),26.8,26.8,0
Chad Henne (KC),23.7,7.9,0
Ryan Finley (FA),21.2,4.2,0
Jacoby Brissett (CLE),20.6,1.9,0
Mason Rudolph (PIT),19.3,3.9,0
Colt McCoy (ARI),19.1,4.8,0
Jarrett Stidham (LV),16.0,3.2,0
Garrett Gilbert (FA),15.5,7.8,0
Blaine Gabbert (TB),15.3,3.8,0
Brett Rypien (DEN),15.3,5.1,0
Chase Daniel (LAC),14.2,3.6,0
John Wolford (LAR),13.8,13.8,0
PJ Walker (CAR),13.5,3.4,0
Taylor Heinicke (WAS),11.7,11.7,0
Matt Barkley (BUF),10.3,2.1,0
Trace McSorley (ARI),9.3,4.7,0
Tyrod Taylor (NYG),9.0,4.5,0
Chris Streveler (NYJ),8.7,1.7,0
Ben DiNucci (FA),7.0,2.3,0
Robert Griffin III (FA),4.6,1.2,0
Brian Hoyer (NE),3.0,3.0,0
Tyler Huntley (BAL),2.9,1.5,0
David Blough (MIN),2.8,2.8,0
Jameis Winston (NO),2.4,0.6,0
Tommy Stevens (FA),2.4,2.4,0
Joshua Dobbs (CLE),2.1,2.1,0
Nathan Peterman (CHI),1.9,1.9,0
Case Keenum (BUF),1.8,0.9,0
Logan Woodside (TEN),1.3,0.2,0
Geno Smith (SEA),1.1,1.1,0
AJ McCarron (FA),0.8,0.4,0
Tyler Bray (FA),0.7,0.7,0
John Lovett (MIA),0.6,0.1,0
Joe Webb III (FA),0.0,0.0,0
Easton Stick (LAC),0.0,0.0,0
Mike White (NYJ),0.0,0.0,0
Matt Schaub (FA),-0.4,-0.4,0
Nate Sudfeld (DET),-0.5,-0.5,0
Tim Boyle (DET),-0.9,-0.1,0
Josh Allen (BUF),417.7,24.6,1
Justin Herbert (LAC),395.6,23.3,1
Tom Brady (TB),386.7,22.7,1
Patrick Mahomes II (KC),374.2,22.0,1
Matthew Stafford (LAR),346.8,20.4,1
Aaron Rodgers (GB),336.3,21.0,1
Dak Prescott (DAL),330.4,20.7,1
Joe Burrow (CIN),328.1,20.5,1
Jalen Hurts (PHI),321.2,21.4,1
Kyler Murray (ARI),310.5,22.2,1
Kirk Cousins (MIN),307.3,19.2,1
Ryan Tannehill (TEN),282.3,16.6,1
Derek Carr (LV),270.6,15.9,1
Carson Wentz (WAS),264.9,15.6,1
Lamar Jackson (BAL),253.0,21.1,2
Russell Wilson (DEN),248.7,17.8,2
Jimmy Garoppolo (SF),239.5,16.0,2
Mac Jones (NE),238.0,14.0,2
Taylor Heinicke (WAS),236.7,14.8,2
Matt Ryan (IND),234.8,13.8,2
Ben Roethlisberger (FA),228.0,14.3,2
Trevor Lawrence (JAC),216.0,12.7,2
Teddy Bridgewater (MIA),209.8,15.0,2
Jared Goff (DET),202.4,14.5,2
Baker Mayfield (CAR),193.8,13.8,2
Tua Tagovailoa (MIA),190.9,14.7,2
Daniel Jones (NYG),173.6,15.8,2
Sam Darnold (CAR),170.5,14.2,2
Davis Mills (HOU),167.0,12.8,2
Zach Wilson (NYJ),162.9,12.5,2
Justin Fields (CHI),136.9,11.4,2
Taysom Hill (NO),122.8,10.2,2
Jameis Winston (NO),120.3,17.2,2
Trevor Siemian (CHI),93.2,15.5,0
Andy Dalton (NO),93.1,11.6,0
Cam Newton (FA),91.3,11.4,0
Tyrod Taylor (NYG),86.7,14.5,0
Tyler Huntley (BAL),86.7,12.4,0
Jacoby Brissett (CLE),76.4,6.9,0
Trey Lance (SF),67.0,11.2,0
Geno Smith (SEA),55.3,13.8,0
Drew Lock (SEA),52.8,8.8,0
Mike White (NYJ),52.0,13.0,0
Josh Johnson (DEN),48.4,12.1,0
Colt McCoy (ARI),42.3,5.3,0
Mike Glennon (FA),40.9,6.8,0
Gardner Minshew II (PHI),34.6,11.5,0
Tim Boyle (DET),30.4,7.6,0
Case Keenum (BUF),29.6,5.9,0
Cooper Rush (DAL),25.1,6.3,0
Jordan Love (GB),24.2,4.0,0
Joe Flacco (NYJ),23.8,11.9,0
Mason Rudolph (PIT),19.4,9.7,0
PJ Walker (CAR),16.8,3.4,0
Nick Foles (IND),16.8,16.8,0
Marcus Mariota (ATL),14.9,2.1,0
Jake Fromm (FA),13.9,4.6,0
Brandon Allen (CIN),13.8,2.8,0
Sean Mannion (SEA),13.0,13.0,0
Brian Hoyer (NE),12.3,2.5,0
Nick Mullens (MIN),9.9,9.9,0
Mitch Trubisky (PIT),9.1,1.8,0
Kyle Allen (HOU),7.9,4.0,0
Garrett Gilbert (FA),7.8,7.8,0
Ian Book (PHI),4.0,4.0,0
Chad Henne (KC),3.3,0.8,0
Chris Streveler (NYJ),2.0,1.0,0
Blaine Gabbert (TB),1.9,0.3,0
C.J. Beathard (JAC),1.5,0.8,0
Sam Ehlinger (IND),0.9,0.3,0
Ryan Fitzpatrick (FA),0.7,0.7,0
David Blough (MIN),0.6,0.6,0
Kellen Mond (CLE),0.2,0.1,0
Nathan Peterman (CHI),0.2,0.2,0
Bryce Perkins (LAR),0.0,0.0,0
Jake Luton (NO),0.0,0.0,0
Shane Buechele (KC),0.0,0.0,0
Jacob Eason (CAR),0.0,0.0,0
Brian Brohm (BUF),0.0,0.0,0
Desmond Ridder (ATL),0.0,0.0,0
Brett Ratliff (TEN),0.0,0.0,0
Brock Purdy (SF),0.0,0.0,0
Kyle Trask (TB),0.0,0.0,0
Skylar Thompson (MIA),0.0,0.0,0
E.J. Perry (JAC),0.0,0.0,0
Malik Willis (TEN),0.0,0.0,0
Anthony Brown (BAL),0.0,0.0,0
