Player,FPTS,FPTS/G,Player Segment
Cooper Kupp (LAR),294.5,17.3,1
Deebo Samuel (SF),262.0,16.4,1
Ja'Marr Chase (CIN),223.6,13.2,1
Justin Jefferson (MIN),222.4,13.1,1
Davante Adams (LV),221.3,13.8,1
Mike Evans (TB),188.5,11.8,1
Tyreek Hill (MIA),185.5,10.9,1
Stefon Diggs (BUF),182.5,10.7,1
Mike Williams (LAC),170.6,10.7,1
DK Metcalf (SEA),169.3,10.0,1
Tyler Lockett (SEA),168.4,10.5,1
Diontae Johnson (PIT),167.4,10.5,1
Hunter Renfrow (LV),156.1,9.2,1
CeeDee Lamb (DAL),153.8,9.6,1
Keenan Allen (LAC),151.8,9.5,1
Michael Pittman Jr. (IND),150.6,8.9,1
Tee Higgins (CIN),145.1,10.4,1
DJ Moore (CAR),144.5,8.5,1
Chris Godwin (TB),144.4,10.3,1
Brandin Cooks (HOU),141.8,8.9,1
Jaylen Waddle (MIA),141.8,8.9,1
Darnell Mooney (CHI),138.7,8.2,1
Amon-Ra St. Brown (DET),137.3,8.6,1
Terry McLaurin (WAS),136.5,8.0,1
Marquise Brown (ARI),135.3,8.5,1
Amari Cooper (CLE),134.5,9.0,1
Adam Thielen (MIN),132.8,10.2,1
Christian Kirk (JAC),130.6,7.7,1
Kendrick Bourne (NE),125.5,7.4,1
DeVonta Smith (PHI),121.6,7.2,1
Van Jefferson (LAR),118.2,7.0,1
A.J. Brown (PHI),117.9,9.1,1
Tyler Boyd (CIN),116.8,7.3,1
Brandon Aiyuk (SF),114.3,6.7,1
K.J. Osborn (MIN),108.5,6.4,2
Chase Claypool (PIT),107.6,7.2,2
Marvin Jones Jr. (JAC),107.2,6.3,2
Marquez Callaway (NO),105.8,6.2,2
DeAndre Hopkins (ARI),105.2,10.5,2
Tim Patrick (DEN),103.4,6.5,2
Jakobi Meyers (NE),103.3,6.5,2
A.J. Green (ARI),102.8,6.4,2
Cedrick Wilson Jr. (MIA),102.8,7.3,2
Allen Lazard (GB),102.5,7.3,2
Russell Gage (TB),97.0,7.5,2
Elijah Moore (NYJ),95.2,8.7,2
Courtland Sutton (DEN),92.2,5.4,2
Robert Woods (TEN),92.2,10.2,2
Gabriel Davis (BUF),90.9,6.1,2
Emmanuel Sanders (FA),89.7,6.4,2
Robbie Anderson (CAR),85.5,5.0,2
Odell Beckham Jr. (FA),85.1,6.1,2
Byron Pringle (CHI),84.8,5.3,2
Kalif Raymond (DET),84.4,5.3,2
Mecole Hardman (KC),81.9,4.8,2
Jarvis Landry (NO),81.0,6.8,2
Antonio Brown (FA),79.1,11.3,2
Cole Beasley (FA),77.3,4.8,2
Deonte Harty (NO),77.1,5.9,2
Donovan Peoples-Jones (CLE),75.7,5.4,2
Bryan Edwards (ATL),75.1,4.7,2
Braxton Berrios (NYJ),75.1,4.7,2
Quez Watkins (PHI),73.0,4.3,2
Corey Davis (NYJ),71.2,7.9,2
Nick Westbrook-Ikhine (TEN),69.6,4.6,2
Nelson Agholor (NE),66.4,4.4,2
Jalen Guyton (LAC),66.2,4.1,2
Randall Cobb (GB),65.6,6.0,2
Laviska Shenault Jr. (CAR),64.0,4.0,2
DeVante Parker (NE),63.5,6.4,2
DeAndre Carter (LAC),62.5,3.7,2
Freddie Swain (MIA),61.5,3.6,2
Marquez Valdes-Scantling (KC),61.0,5.5,2
Henry Ruggs III (FA),60.5,8.6,2
Joshua Palmer (LAC),59.9,4.0,2
Zay Jones (JAC),58.9,3.9,2
Olamide Zaccheaus (ATL),58.8,3.9,2
Jamison Crowder (BUF),58.7,4.9,2
Jauan Jennings (SF),58.2,4.5,2
Rashod Bateman (BAL),57.5,4.8,2
Michael Gallup (DAL),56.5,6.3,2
Zach Pascal (PHI),56.5,3.5,2
DeSean Jackson (FA),55.8,4.0,2
Tre'Quan Smith (NO),55.7,5.6,2
Rondale Moore (ARI),55.1,3.9,2
Kenny Golladay (NYG),52.1,3.7,2
Jamal Agnew (JAC),52.0,4.3,2
Josh Reynolds (DET),51.6,4.7,2
T.Y. Hilton (FA),51.1,5.1,2
Keelan Cole Sr. (LV),50.9,3.6,2
Nico Collins (HOU),50.6,3.6,2
Laquon Treadwell (NE),49.4,4.1,2
Julio Jones (TB),49.4,4.9,2
Allen Robinson II (LAR),49.0,4.1,2
Jerry Jeudy (DEN),47.0,4.7,2
Mack Hollins (LV),46.3,2.9,2
Jalen Reagor (MIN),45.1,2.7,2
Danny Amendola (FA),44.8,5.6,2
Demarcus Robinson (BAL),44.4,3.0,2
Devin Duvernay (BAL),44.2,2.8,2
Sammy Watkins (GB),43.4,3.9,2
Kadarius Toney (NYG),43.4,4.8,2
Chris Conley (HOU),42.6,3.0,2
Darius Slayton (NYG),42.6,3.3,2
James Washington (DAL),41.8,2.8,2
Sterling Shepard (NYG),41.7,6.0,2
Calvin Ridley (ATL),40.1,8.0,2
Damiere Byrd (ATL),38.9,3.5,0
Antoine Wesley (ARI),38.8,4.9,0
Adam Humphries (FA),38.3,2.3,0
Marquise Goodwin (SEA),37.2,2.7,0
Lil'Jordan Humphrey (NE),36.9,4.6,0
Tyler Johnson (HOU),36.0,2.3,0
Chester Rogers (CLE),35.0,2.2,0
Chris Moore (HOU),34.7,3.5,0
Cyril Grayson Jr. (FA),34.6,11.5,0
Quintez Cephus (DET),34.4,6.9,0
Cam Sims (WAS),33.8,2.8,0
Rashard Higgins (CAR),33.5,2.8,0
Malik Turner (SF),32.9,4.7,0
Ashton Dulin (IND),32.5,2.0,0
Isaiah McKenzie (BUF),32.5,2.2,0
Brandon Zylstra (FA),31.0,2.6,0
John Ross (FA),30.0,3.3,0
Jakeem Grant Sr. (CLE),28.5,1.9,0
Isaiah Ford (FA),28.1,3.1,0
Greg Ward (FA),27.6,2.8,0
D.J. Chark Jr. (DET),27.4,9.1,0
Tavon Austin (BUF),27.4,2.3,0
Ray-Ray McCloud (SF),27.2,1.7,0
Ihmir Smith-Marsette (CHI),23.6,3.9,0
Kendall Hinton (DEN),23.5,2.1,0
Anthony Schwartz (CLE),23.4,1.8,0
Albert Wilson (FA),23.0,2.3,0
Tajae Sharpe (FA),23.0,1.6,0
Breshad Perriman (TB),22.4,4.5,0
Parris Campbell (IND),22.2,3.7,0
James Proche II (BAL),20.2,2.9,0
JuJu Smith-Schuster (KC),19.8,4.0,0
Noah Brown (DAL),18.4,1.8,0
Dee Eskridge (SEA),18.3,2.3,0
KhaDarel Hodge (ATL),17.7,1.5,0
Mohamed Sanu Sr. (FA),17.7,2.2,0
N'Keal Harry (CHI),16.4,1.6,0
Kristian Wilkerson (NE),16.2,16.2,0
Dyami Brown (WAS),16.1,1.6,0
Terrace Marshall Jr. (CAR),15.8,1.3,0
Marcus Johnson (NYG),15.8,2.3,0
Dante Pettis (CHI),15.3,5.1,0
Trent Sherfield (MIA),14.7,1.2,0
Scotty Miller (TB),14.1,2.4,0
Denzel Mims (NYJ),13.3,1.3,0
Ben Skowronek (LAR),13.3,1.1,0
Kenny Stills (FA),12.9,1.8,0
Tom Kennedy (DET),12.4,1.8,0
Jeff Smith (NYJ),11.2,1.2,0
Equanimeous St. Brown (CHI),11.2,0.9,0
Phillip Dorsett II (HOU),11.0,2.2,0
Dez Fitzpatrick (TEN),10.9,3.6,0
Collin Johnson (NYG),10.5,1.3,0
Trinity Benson (FA),10.3,1.5,0
Chris Hogan (FA),10.1,2.0,0
Shi Smith (CAR),10.1,2.0,0
Auden Tate (PHI),9.9,2.5,0
Josh Gordon (TEN),9.2,1.0,0
Cameron Batson (ATL),9.0,2.3,0
Anthony Miller (PIT),8.5,2.8,0
Dezmon Patmon (IND),8.1,2.0,0
Preston Williams (CAR),7.8,1.3,0
Andre Roberts (CAR),7.4,0.5,0
K.J. Hamler (DEN),7.4,2.5,0
Dede Westbrook (FA),6.8,0.5,0
Dax Milne (WAS),6.4,0.7,0
Ja'Marcus Bradley (FA),6.4,1.6,0
Brandon Powell (LAR),6.0,1.0,0
Penny Hart (SEA),5.9,0.5,0
C.J. Board (FA),5.7,1.0,0
Amari Rodgers (GB),5.6,0.4,0
Jason Moore Jr. (LAC),5.6,5.6,0
Alex Erickson (WAS),5.5,0.3,0
Jaelon Darden (TB),5.4,0.6,0
Mike Thomas (CIN),5.2,0.7,0
William Fuller V (FA),4.6,2.3,0
Trent Taylor (CIN),4.1,1.0,0
Gunner Olszewski (PIT),4.0,0.3,0
Greg Dortch (ARI),3.9,0.8,0
Curtis Samuel (WAS),3.8,0.8,0
Willie Snead IV (FA),3.8,0.5,0
Juwann Winfree (GB),3.8,0.8,0
Kevin White (FA),3.8,1.0,0
D.J. Montgomery (FA),3.6,1.8,0
Pharoh Cooper (FA),3.6,0.5,0
J.J. Arcega-Whiteside (SEA),3.6,0.5,0
Trenton Irwin (CIN),3.4,0.7,0
Seth Williams (JAC),3.4,3.4,0
Cody Hollister (TEN),3.3,1.1,0
Cody White (PIT),3.3,0.6,0
KJ Hill Jr. (FA),3.0,0.5,0
Jake Kumerow (BUF),2.8,0.4,0
Mike Strachan (IND),2.6,1.3,0
Christian Blake (FA),2.5,0.3,0
Marcus Kemp (FA),2.4,0.2,0
Tylan Wallace (BAL),2.3,0.2,0
Dazz Newsome (FA),2.3,0.8,0
Davion Davis (FA),1.7,0.9,0
Keith Kirkwood (FA),1.7,0.6,0
David Sills V (NYG),1.7,0.4,0
Tyron Johnson (LV),1.6,0.2,0
Tyrell Williams (FA),1.4,1.4,0
Stanley Morgan Jr. (CIN),1.4,0.1,0
Frank Darby (ATL),1.4,0.4,0
Andy Isabella (ARI),1.3,0.4,0
Kirk Merritt (NO),1.3,1.3,0
C.J. Saunders (CAR),1.1,1.1,0
Jaydon Mickens (FA),1.0,0.1,0
Tarik Black (NYJ),1.0,1.0,0
Marvin Hall (FA),1.0,1.0,0
Tommylee Lewis (FA),0.7,0.4,0
Miles Boykin (PIT),0.6,0.3,0
Easop Winston Jr. (FA),0.5,0.2,0
Keke Coutee (IND),0.5,0.5,0
Maurice Ffrench (FA),0.3,0.2,0
Isaiah Coulter (CHI),0.0,0.0,0
Marquez Stevenson (BUF),0.0,0.0,0
Demetric Felton Jr. (CLE),0.0,0.0,0
Pooka Williams Jr. (FA),0.0,0.0,0
Tutu Atwell (LAR),0.0,0.0,0
Dan Chisena (MIN),0.0,0.0,0
Josh Hammond (FA),0.0,0.0,0
Matt Cole (FA),0.0,0.0,0
Vyncint Smith (DEN),0.0,0.0,0
Damion Ratley (FA),0.0,0.0,0
Jordan Veasy (FA),0.0,0.0,0
John Hightower (FA),0.0,0.0,0
Mason Kinsey (TEN),0.0,0.0,0
Tyrie Cleveland (DEN),0.0,0.0,0
Antonio Gandy-Golden (FA),0.0,0.0,0
Cody Thompson (SEA),0.0,0.0,0
Quinton Bell (ATL),0.0,0.0,0
Nsimba Webster (CHI),0.0,0.0,0
Jacob Harris (LAR),0.0,0.0,0
Michael Bandy (LAC),0.0,0.0,0
Dillon Stoner (LV),0.0,0.0,0
Landen Akers (FA),0.0,0.0,0
Brandon Smith (DAL),0.0,0.0,0
Osirus Mitchell (FA),0.0,0.0,0
Kawaan Baker (NO),0.0,0.0,0
Jalen Camp (HOU),0.0,0.0,0
John Brown (FA),0.0,0.0,0
Daurice Fountain (KC),0.0,0.0,0
Matthew Slater (NE),0.0,0.0,0
Geronimo Allison (FA),0.0,0.0,0
Rodney Adams (FA),0.0,0.0,0
River Cracraft (MIA),0.0,0.0,0
David Moore (CHI),0.0,0.0,0
Ryan Switzer (FA),0.0,0.0,0
Justin Hardee (NYJ),0.0,0.0,0
JoJo Natson (FA),0.0,0.0,0
Allen Hurns (FA),0.0,0.0,0
Ty Montgomery (NE),0.0,0.0,0
Devin Smith (FA),0.0,0.0,0
Alex Bachman (FA),-0.3,-0.2,0
Malik Taylor (FA),-0.6,-0.1,0
Racey McMath (TEN),-1.2,-0.2,0
J.J. Koski (FA),-2.0,-0.7,0
