Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Cooper Kupp (LAR),145,191,"1,947",13.4,59,57,16,4,18,0,0,17,294.5,17.3,100.00%
2,Deebo Samuel (SF),77,121,"1,405",18.2,83,53,6,59,365,8,2,16,262,16.4,100.00%
3,Ja'Marr Chase (CIN),81,128,"1,455",18,82,49,13,7,21,0,1,17,223.6,13.2,100.00%
4,Justin Jefferson (MIN),108,167,"1,616",15,56,45,10,6,14,0,1,17,222.4,13.1,100.00%
5,Davante Adams (LV),123,169,"1,553",12.6,59,37,11,0,0,0,0,16,221.3,13.8,100.00%
6,Mike Evans (TB),74,114,"1,035",14,46,30,14,1,10,0,0,16,188.5,11.8,99.90%
7,Tyreek Hill (MIA),111,159,"1,239",11.2,75,24,9,9,96,0,1,17,185.5,10.9,100.00%
8,Stefon Diggs (BUF),103,164,"1,225",11.9,61,24,10,0,0,0,0,17,182.5,10.7,100.00%
9,Mike Williams (LAC),76,129,"1,146",15.1,72,37,9,0,0,0,0,16,170.6,10.7,98.60%
10,DK Metcalf (SEA),75,129,967,12.9,84,19,12,1,6,0,0,17,169.3,10,97.70%
11,Tyler Lockett (SEA),73,107,"1,175",16.1,69,43,8,2,9,0,0,16,168.4,10.5,87.40%
12,Diontae Johnson (PIT),107,169,"1,161",10.9,50,27,8,5,53,0,2,16,167.4,10.5,97.50%
13,Hunter Renfrow (LV),103,128,"1,038",10.1,54,14,9,3,3,0,1,17,156.1,9.2,93.00%
14,CeeDee Lamb (DAL),79,120,"1,102",13.9,49,31,6,9,76,0,0,16,153.8,9.6,99.90%
15,Keenan Allen (LAC),106,157,"1,138",10.7,42,19,6,0,0,0,0,16,151.8,9.5,99.90%
16,Michael Pittman Jr. (IND),88,129,"1,082",12.3,57,20,6,5,44,0,0,17,150.6,8.9,99.70%
17,Tee Higgins (CIN),74,110,"1,091",14.7,54,25,6,0,0,0,1,14,145.1,10.4,99.70%
18,DJ Moore (CAR),93,163,"1,157",12.4,64,20,4,8,48,0,1,17,144.5,8.5,99.20%
19,Chris Godwin (TB),98,127,"1,103",11.3,44,19,5,4,21,1,2,14,144.4,10.3,93.50%
20,Brandin Cooks (HOU),90,134,"1,037",11.5,52,24,6,2,21,0,0,16,141.8,8.9,96.60%
21,Jaylen Waddle (MIA),104,140,"1,015",9.8,57,15,6,2,3,1,1,16,141.8,8.9,98.20%
22,Darnell Mooney (CHI),81,140,"1,055",13,64,26,4,6,32,1,0,17,138.7,8.2,93.60%
23,Amon-Ra St. Brown (DET),90,119,912,10.1,37,15,5,7,61,1,0,16,137.3,8.6,96.00%
24,Terry McLaurin (WAS),77,130,"1,053",13.7,46,27,5,1,12,0,0,17,136.5,8,99.10%
25,Marquise Brown (ARI),91,146,"1,008",11.1,49,24,6,1,5,0,1,16,135.3,8.5,95.60%
26,Amari Cooper (CLE),68,104,865,12.7,41,20,8,0,0,0,0,15,134.5,9,93.20%
27,Adam Thielen (MIN),67,95,726,10.8,35,16,10,1,2,0,0,13,132.8,10.2,94.50%
28,Christian Kirk (JAC),77,103,982,12.8,50,28,5,1,11,0,0,17,130.6,7.7,90.20%
29,Kendrick Bourne (NE),55,70,800,14.5,75,22,5,12,125,0,1,17,125.5,7.4,3.60%
30,DeVonta Smith (PHI),64,104,916,14.3,46,22,5,0,0,0,1,17,121.6,7.2,89.00%
31,Van Jefferson (LAR),50,89,802,16,79,26,6,2,20,0,0,17,118.2,7,10.90%
